<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MGNT;D;14/04/23;000000;4554;4588.5;4532.5;4575;103384
MGNT;D;17/04/23;000000;4623;4678;4590;4677.5;273777
MGNT;D;18/04/23;000000;4687;4847.5;4678;4844.5;573093
MGNT;D;19/04/23;000000;4844;4893;4670;4730.5;565748
MGNT;D;20/04/23;000000;4732;4859.5;4731;4806.5;697439
MGNT;D;21/04/23;000000;4833.5;4847.5;4785;4808;152110
MGNT;D;24/04/23;000000;4827.5;4858;4800.5;4817.5;165896
MGNT;D;25/04/23;000000;4820;4832;4773.5;4789;125547
MGNT;D;26/04/23;000000;4793.5;4817.5;4727;4756.5;188653
MGNT;D;27/04/23;000000;4756.5;4784.5;4731;4765;149594
MGNT;D;28/04/23;000000;4771;4777;4680;4686.5;174536
MGNT;D;02/05/23;000000;4688.5;4703.5;4562.5;4585.5;333442
MGNT;D;03/05/23;000000;4595.5;4600;4411;4442;315909
MGNT;D;04/05/23;000000;4459.5;4509;4387;4450;216767
MGNT;D;05/05/23;000000;4441;4482;4398.5;4422.5;177922
MGNT;D;08/05/23;000000;4430;4473.5;4412.5;4416;72113
MGNT;D;10/05/23;000000;4422.5;4546.5;4417.5;4529.5;168719
MGNT;D;11/05/23;000000;4538.5;4588;4460;4518;231188
MGNT;D;12/05/23;000000;4525;4544.5;4440;4470.5;215810
MGNT;D;15/05/23;000000;4483;4540;4478;4519.5;160095
MGNT;D;16/05/23;000000;4537;4659;4524.5;4614;276748
MGNT;D;17/05/23;000000;4619.5;4645;4556;4605.5;146027
MGNT;D;18/05/23;000000;4611;4619;4564;4578.5;117594
MGNT;D;19/05/23;000000;4579;4648;4558;4619;158047
MGNT;D;22/05/23;000000;4640.5;4678.5;4612.5;4631;281571
MGNT;D;23/05/23;000000;4629;4652;4406;4419;727692
MGNT;D;24/05/23;000000;4315.5;4424.5;4136;4208.5;3385601
MGNT;D;25/05/23;000000;4187;4194.5;3965;4040;2210037
MGNT;D;26/05/23;000000;4039;4178.5;3992;4139;1406805
MGNT;D;29/05/23;000000;4151;4166;4044;4121;740016
MGNT;D;30/05/23;000000;4170;4284.5;4134.5;4178;1184971
MGNT;D;31/05/23;000000;4179.5;4294.5;4087;4293.5;731977
MGNT;D;01/06/23;000000;4368.5;4390;4310;4370;1026986
MGNT;D;02/06/23;000000;4375;4381.5;4285.5;4323.5;576408
MGNT;D;05/06/23;000000;4335.5;4337;4181;4213.5;518361
MGNT;D;06/06/23;000000;4211;4262.5;4140;4234.5;407206
MGNT;D;07/06/23;000000;4248.5;4286;4213;4250.5;324888
MGNT;D;08/06/23;000000;4238;4289;4220;4260;198827
MGNT;D;09/06/23;000000;4260;4267.5;4229;4230;149778
MGNT;D;13/06/23;000000;4251;4374;4239.5;4365;379179
MGNT;D;14/06/23;000000;4369;4383.5;4320;4351;302432
MGNT;D;15/06/23;000000;4356;4540;4321;4513;1289968
MGNT;D;16/06/23;000000;4508;4940;4462.5;4896.5;3035341
MGNT;D;19/06/23;000000;4988.5;5138;4877;4885;2674769
MGNT;D;20/06/23;000000;4884.5;4926.5;4818;4898;791101
MGNT;D;21/06/23;000000;4901.5;4998;4860;4982.5;584228
MGNT;D;22/06/23;000000;4981;4993.5;4874.5;4901;414625
