<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;D;28/07/23;000000;5678;5917;5654.5;5896;1865130
LKOH;D;31/07/23;000000;5952.5;5999.5;5905.5;5938;1547638
LKOH;D;01/08/23;000000;5942;6049;5883;6008;1340576
LKOH;D;02/08/23;000000;6007.5;6123;5960;6069.5;1314265
LKOH;D;03/08/23;000000;6065;6168;6040;6155;997755
LKOH;D;04/08/23;000000;6169;6270;5951.5;6103;2840065
LKOH;D;07/08/23;000000;6176.5;6210;5975;6048.5;1406905
LKOH;D;08/08/23;000000;6038.5;6135;5925;6124.5;1552189
LKOH;D;09/08/23;000000;6129.5;6185;6073;6171.5;940039
LKOH;D;10/08/23;000000;6181.5;6258;6155;6252;1019541
LKOH;D;11/08/23;000000;6265;6287;6205;6284.5;787628
LKOH;D;14/08/23;000000;6321.5;6428;6011.5;6127.5;3030481
LKOH;D;15/08/23;000000;6087.5;6290;6008;6131.5;2268788
LKOH;D;16/08/23;000000;6156;6198;5990.5;6094.5;1989505
LKOH;D;17/08/23;000000;6160;6167;6062;6162;890393
LKOH;D;18/08/23;000000;6166;6285;6122.5;6277.5;916052
LKOH;D;21/08/23;000000;6294.5;6338;6237;6265.5;1187071
LKOH;D;22/08/23;000000;6265.5;6677;6216.5;6606.5;5302103
LKOH;D;23/08/23;000000;6632;6654;6364;6412.5;2937766
LKOH;D;24/08/23;000000;6492;6571.5;6432;6561.5;1227840
LKOH;D;25/08/23;000000;6563.5;6592.5;6513.5;6566;761542
LKOH;D;28/08/23;000000;6574.5;6665;6560;6662;909964
LKOH;D;29/08/23;000000;6670;6780;6636;6779.5;1936444
