<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MTLR;D;20/01/23;000000;104.21;104.75;102.74;104.65;1050214
MTLR;D;23/01/23;000000;104.99;105.64;103.52;103.96;1431968
MTLR;D;24/01/23;000000;104.32;106.97;104.1;104.51;2321494
MTLR;D;25/01/23;000000;104.49;107.38;104.11;107.07;1371995
MTLR;D;26/01/23;000000;107.38;110.01;107.04;110.01;3141851
MTLR;D;27/01/23;000000;110.61;115.77;110.61;114.48;5988448
MTLR;D;30/01/23;000000;114.6;118.87;112.55;113.77;3776408
MTLR;D;31/01/23;000000;113.51;115.14;112.5;113.95;2190199
MTLR;D;01/02/23;000000;113.94;117.9;113.55;117.4;3442577
MTLR;D;02/02/23;000000;117.2;122.95;117.19;122.87;5840057
MTLR;D;03/02/23;000000;122.6;122.82;120.35;122.2;4237726
MTLR;D;06/02/23;000000;122.1;125.9;122.01;125.13;4396192
MTLR;D;07/02/23;000000;125.99;128.47;124.05;126.9;6153256
MTLR;D;08/02/23;000000;127.31;128.69;124.11;124.77;4470521
MTLR;D;09/02/23;000000;125.07;125.48;122.5;124.53;2659456
MTLR;D;10/02/23;000000;124.41;125.52;123.81;124.55;2027505
MTLR;D;13/02/23;000000;124.41;125.79;124.12;124.83;1308042
MTLR;D;14/02/23;000000;124.79;124.79;120.68;121.7;3422907
MTLR;D;15/02/23;000000;120.99;121;115.16;115.66;3022287
MTLR;D;16/02/23;000000;116.26;119.8;116.25;118.8;3318523
MTLR;D;17/02/23;000000;118.2;119.5;117.41;119.44;1341966
MTLR;D;20/02/23;000000;119.61;119.79;116.11;118.4;1666297
MTLR;D;21/02/23;000000;119.02;124.93;118.65;122.54;2734310
MTLR;D;22/02/23;000000;122.82;122.87;120.51;121;1113342
MTLR;D;24/02/23;000000;120.94;123;120.16;122.04;1075733
MTLR;D;27/02/23;000000;121.87;125.99;121.71;125.16;3750509
MTLR;D;28/02/23;000000;125.56;127.3;125.56;126.76;2469631
MTLR;D;01/03/23;000000;127.2;129.43;125.53;125.63;3075288
MTLR;D;02/03/23;000000;125.66;127.2;124.05;124.91;4011686
MTLR;D;03/03/23;000000;124.8;128.4;124.71;128.39;1550881
MTLR;D;06/03/23;000000;128.58;129.98;127.79;129.29;1995229
MTLR;D;07/03/23;000000;129.51;133;128.61;132.79;2997530
MTLR;D;09/03/23;000000;133.32;136.9;131.52;136.14;4027466
MTLR;D;10/03/23;000000;135.75;141.71;134.55;140.78;6387109
MTLR;D;13/03/23;000000;141.11;144.47;136.43;139.26;8136175
MTLR;D;14/03/23;000000;139.19;141.6;137.34;138.67;3986336
MTLR;D;15/03/23;000000;138.99;140.5;135.16;136.23;4207935
MTLR;D;16/03/23;000000;135.75;139.34;133.62;138.91;5170891
MTLR;D;17/03/23;000000;139.98;141.29;138.92;140.69;4050588
MTLR;D;20/03/23;000000;141.01;146.13;140.12;145.87;4007068
MTLR;D;21/03/23;000000;145.79;147.65;141.1;143.5;4046269
MTLR;D;22/03/23;000000;143.6;144.06;141.42;143.23;1420439
MTLR;D;23/03/23;000000;143.42;144.79;139.92;140.7;4182938
MTLR;D;24/03/23;000000;140.1;141.97;138.1;141.29;2223353
MTLR;D;27/03/23;000000;141.78;143.89;140.33;143.3;2821898
MTLR;D;28/03/23;000000;143.52;151.72;141.72;151.09;10300394
MTLR;D;29/03/23;000000;151.65;157;149.05;155.78;11538399
MTLR;D;30/03/23;000000;154.87;155.5;153.04;154.86;3686176
MTLR;D;31/03/23;000000;154.98;155.81;150.1;153.82;4122181
MTLR;D;03/04/23;000000;155.01;157.01;154.5;156.8;3619556
MTLR;D;04/04/23;000000;157.12;159.22;152.32;152.85;8989752
MTLR;D;05/04/23;000000;151.99;153.84;147.58;152.83;7290347
MTLR;D;06/04/23;000000;152.84;153.15;150.27;150.71;3135043
MTLR;D;07/04/23;000000;150.49;156;150.48;155.99;4818667
MTLR;D;10/04/23;000000;155.78;164.68;154.32;162.78;8706403
MTLR;D;11/04/23;000000;162.8;172.85;161.28;166.24;19117748
MTLR;D;12/04/23;000000;166.64;174;165.6;173.6;12311003
MTLR;D;13/04/23;000000;174.24;181.35;174.05;176.93;18398908
MTLR;D;14/04/23;000000;177.8;177.97;173.83;176.01;6202809
MTLR;D;17/04/23;000000;176.96;181.99;174.99;181.75;8732835
MTLR;D;18/04/23;000000;182.07;198.63;179.13;196.19;28005198
MTLR;D;19/04/23;000000;195.83;208.44;191.61;198.26;40685266
MTLR;D;20/04/23;000000;198.8;202.45;191;194.38;19096517
MTLR;D;21/04/23;000000;195;197.84;190.63;196.94;9462543
MTLR;D;24/04/23;000000;196.9;203.38;195;200.51;8164522
MTLR;D;25/04/23;000000;201.12;201.75;195.48;195.92;4203688
MTLR;D;26/04/23;000000;195.43;198.51;192;193.82;5951315
MTLR;D;27/04/23;000000;193.97;196.9;193.12;194.49;3485676
MTLR;D;28/04/23;000000;194.77;195.39;187.82;191.49;5807846
MTLR;D;02/05/23;000000;188.9;189.73;175.13;179.7;12966730
MTLR;D;03/05/23;000000;179.6;180.48;166.36;167.57;15821845
MTLR;D;04/05/23;000000;167.5;179.77;167.01;179.7;18118745
MTLR;D;05/05/23;000000;180;184.84;176.5;180.38;15631050
MTLR;D;08/05/23;000000;180.31;182.8;175.3;176.62;5119643
MTLR;D;10/05/23;000000;177;189.89;176.73;189.6;10311710
MTLR;D;11/05/23;000000;190.12;198.67;176.02;187.11;22118001
MTLR;D;12/05/23;000000;187.3;191.85;182.02;186.89;9572638
MTLR;D;15/05/23;000000;187.99;191.58;186.95;190.44;6739381
MTLR;D;16/05/23;000000;192.05;192.8;187.1;188.6;3837425
MTLR;D;17/05/23;000000;188.2;191.8;186.24;190.27;3604196
MTLR;D;18/05/23;000000;191.04;194.8;188.56;191.69;4850452
MTLR;D;19/05/23;000000;190.9;190.9;187.54;188.37;2587013
MTLR;D;22/05/23;000000;189.99;190.49;185;186.52;2600658
MTLR;D;23/05/23;000000;186.52;187.52;182.04;185.67;3353733
MTLR;D;24/05/23;000000;186.4;191.92;185.25;191.38;4065185
MTLR;D;25/05/23;000000;191.05;191.48;187.51;189.85;2092320
MTLR;D;26/05/23;000000;189.25;193.7;188.72;191.18;4062548
MTLR;D;29/05/23;000000;193;193.44;186.86;188.62;7233231
MTLR;D;30/05/23;000000;187.83;188.4;182.05;183.36;5388518
MTLR;D;31/05/23;000000;182.03;182.4;175.88;177.2;9061421
MTLR;D;01/06/23;000000;177.5;178.7;170.3;171.98;8176485
MTLR;D;02/06/23;000000;171.9;179;171;173.7;11460345
MTLR;D;05/06/23;000000;174.13;174.37;167.8;168.17;5529805
MTLR;D;06/06/23;000000;167.91;168.38;161.87;168.14;10406945
MTLR;D;07/06/23;000000;168.29;176.99;168;176.3;10056266
MTLR;D;08/06/23;000000;175.91;179;171.81;174.16;6229719
MTLR;D;09/06/23;000000;175.36;175.36;172.4;173.9;2621594
MTLR;D;13/06/23;000000;174.03;177;173.39;175.49;3213586
MTLR;D;14/06/23;000000;176.51;176.59;172.83;173.82;2379102
